PX NO.	GRAY VALUE	MS VALUE ASSOCIATED WITH CLASS#1	MS VALUE ASSOCIATED WITH CLASS#2	MS VALUE ASSOCIATED WITH CLASS#3	CLOSEST CLASS
1	0.000	0.976	0.019	0.006	1
2	0.000	0.976	0.019	0.006	1
3	0.098	0.997	0.002	0.001	1
4	0.588	0.006	0.984	0.010	2
5	1.000	0.000	0.000	1.000	3
6	1.000	0.000	0.000	1.000	3
7	0.000	0.976	0.019	0.006	1
8	0.098	0.997	0.002	0.001	1
9	0.322	0.431	0.512	0.057	2
10	0.588	0.006	0.984	0.010	2
11	0.588	0.006	0.984	0.010	2
12	1.000	0.000	0.000	1.000	3
13	0.098	0.997	0.002	0.001	1
14	0.322	0.431	0.512	0.057	2
15	0.588	0.006	0.984	0.010	2
16	0.322	0.431	0.512	0.057	2
17	0.161	0.945	0.046	0.010	1
18	0.588	0.006	0.984	0.010	2
19	0.588	0.006	0.984	0.010	2
20	0.588	0.006	0.984	0.010	2
21	0.161	0.945	0.046	0.010	1
22	0.098	0.997	0.002	0.001	1
23	0.098	0.997	0.002	0.001	1
24	0.322	0.431	0.512	0.057	2
25	0.588	0.006	0.984	0.010	2
26	0.322	0.431	0.512	0.057	2
27	0.098	0.997	0.002	0.001	1
28	0.000	0.976	0.019	0.006	1
29	0.000	0.976	0.019	0.006	1
30	0.098	0.997	0.002	0.001	1
31	1.000	0.000	0.000	1.000	3
32	0.588	0.006	0.984	0.010	2
33	0.322	0.431	0.512	0.057	2
34	0.000	0.976	0.019	0.006	1
35	0.000	0.976	0.019	0.006	1
36	0.000	0.976	0.019	0.006	1
C#1= 17					
C#2= 15					
C#3= 4					
Center#1= 0.075930					
Center#2= 0.547014					
Center#3= 0.996505					
Threshold= 0.539816					
